State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alabama,33.0,32.0,33.0,32.4,33.5,35.6,35.7,36.3,36.2,36.1
Alaska,25.2,27.4,25.7,28.4,29.7,29.8,31.4,34.2,29.5,30.5
Arizona,25.2,25.1,26.0,26.8,28.9,28.4,29.0,29.5,30.0,31.4
Arkansas,30.9,30.9,34.5,34.6,35.9,34.5,35.7,35.0,37.1,37.4
California,24.7,23.8,25.0,24.1,24.7,24.2,25.0,25.1,25.8,26.2
Colorado,21.4,20.7,20.5,21.3,21.3,20.2,22.3,22.6,23.0,23.8
Connecticut,23.0,24.5,25.6,25.0,26.3,25.3,26.0,26.9,27.4,29.1
Delaware,28.7,28.8,26.9,31.1,30.7,29.7,30.7,31.8,33.5,34.4
District of Columbia,22.4,23.8,21.9,22.9,21.7,22.1,22.6,22.9,24.7,23.8
Florida,27.2,26.6,25.2,26.4,26.3,26.8,27.4,28.4,30.7,27.0
Georgia,30.4,28.0,29.1,30.3,30.5,30.7,31.4,31.6,32.5,33.1
Hawaii,23.1,21.9,23.6,21.8,22.1,22.7,23.8,23.8,24.9,25.0
Idaho,26.9,27.1,26.8,29.6,28.9,28.6,27.4,29.3,28.4,29.5
Illinois,28.7,27.1,28.1,29.4,29.3,30.8,31.6,31.1,31.8,31.6
Indiana,30.2,30.8,21.4,31.8,32.7,31.3,32.5,33.6,34.1,35.3
Iowa,29.1,29.0,30.4,31.3,30.9,32.1,32.0,36.4,35.3,33.9
Kansas,30.1,29.6,29.9,30.0,31.3,34.2,31.2,32.4,34.4,35.2
Kentucky,31.8,30.4,31.3,33.2,31.6,34.6,34.2,34.3,36.6,36.5
Louisiana,31.7,33.4,34.7,33.1,34.9,36.2,35.5,36.2,36.8,35.9
Maine,27.4,27.8,28.4,28.9,28.2,30.0,29.9,29.1,30.4,31.7
Maryland,27.9,28.3,27.6,28.3,29.6,28.9,29.9,31.3,30.9,32.3
Massachusetts,23.6,22.7,22.9,23.6,23.3,24.3,23.6,25.9,25.7,25.2
Michigan,31.7,31.3,31.1,31.5,30.7,31.2,32.5,32.3,33.0,36.0
Minnesota,25.4,25.7,25.7,25.5,27.6,26.1,27.8,28.4,30.1,30.1
Mississippi,34.5,34.9,34.6,35.1,35.5,35.6,37.3,37.3,39.5,40.8
Missouri,31.4,30.3,29.6,30.4,30.2,32.4,31.7,32.5,35.0,34.8
Montana,23.5,24.6,24.3,24.6,26.4,23.6,25.5,25.3,26.9,28.3
Nebraska,27.5,28.4,28.0,29.6,30.2,31.4,32.0,32.8,34.1,34.1
Nevada,23.1,24.5,26.2,26.2,27.7,26.7,25.8,26.7,29.5,30.6
New Hampshire,25.5,26.5,27.3,26.7,27.4,26.3,26.6,28.1,29.6,31.8
New Jersey,24.8,23.7,24.6,26.3,26.9,25.6,27.4,27.3,25.7,
New Mexico,25.6,26.3,27.1,26.4,28.4,28.8,28.3,28.4,32.3,31.7
New York,24.5,24.5,23.6,25.4,27.0,25.0,25.5,25.7,27.6,27.1
North Carolina,28.6,29.1,29.6,29.4,29.7,30.1,31.8,32.1,33.0,34.0
North Dakota,27.9,27.8,29.7,31.0,32.2,31.0,31.9,33.2,35.1,34.8
Ohio,29.7,29.7,30.1,30.4,32.6,29.8,31.5,33.8,34.0,34.8
Oklahoma,31.3,31.1,32.2,32.5,33.0,33.9,32.8,36.5,34.8,36.8
Oregon,27.6,26.7,27.3,26.5,27.9,30.1,28.7,29.4,29.9,29.0
Pennsylvania,29.2,28.6,29.1,30.0,30.2,30.0,30.3,31.6,30.9,33.2
Rhode Island,26.0,25.4,25.7,27.3,27.0,26.0,26.6,30.0,27.7,30.0
South Carolina,32.0,30.8,31.6,31.7,32.1,31.7,32.3,34.1,34.3,35.4
South Dakota,27.7,28.1,28.1,29.9,29.8,30.4,29.6,31.9,30.1,33.0
Tennessee,31.7,29.2,31.1,33.7,31.2,33.8,34.8,32.8,34.4,36.5
Texas,31.7,30.4,29.2,30.9,31.9,32.4,33.7,33.0,34.8,34.0
Utah,23.0,24.4,24.3,24.1,25.7,24.5,25.4,25.3,27.8,29.2
Vermont,23.9,25.4,23.7,24.7,24.8,25.1,27.1,27.6,27.5,26.6
Virginia,26.4,29.2,27.4,27.2,28.5,29.2,29.0,30.1,30.4,31.9
Washington,26.2,26.5,26.8,27.2,27.3,26.4,28.6,27.7,28.7,28.3
West Virginia,32.9,32.4,33.8,35.1,35.7,35.6,37.7,38.1,39.5,39.7
Wisconsin,26.9,27.7,29.7,29.8,31.2,30.7,30.7,32.0,32.0,34.2
Wyoming,25.7,25.0,24.6,27.8,29.5,29.0,27.7,28.8,29.0,29.7
Guam,27.6,27.4,29.1,27.0,28.0,31.6,28.3,34.3,29.8,33.6
Puerto Rico,27.5,26.3,28.4,27.9,28.3,29.5,30.7,32.9,32.9,32.5
