State,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Alabama,24.3,23.8,21.5,21.1,21.4,21.5,20.9,19.2,20.2,17.2
Alaska,22.9,20.5,22.6,19.9,19.1,19.0,21.0,19.1,17.4,17.1
Arizona,19.3,17.1,16.3,16.5,14.0,14.7,15.6,14.0,14.9,13.1
Arkansas,27.0,25.0,25.9,24.7,24.9,23.6,22.3,22.7,20.2,21.1
California,13.7,12.6,12.5,12.9,11.7,11.0,11.3,11.2,10.0,8.8
Colorado,18.3,17.7,17.7,15.7,15.7,15.6,14.6,14.5,13.5,12.0
Connecticut,17.1,16.0,15.5,15.4,13.5,13.4,12.7,12.2,12.1,11.1
Delaware,21.8,19.7,19.6,19.9,17.4,17.7,17.0,16.5,15.9,13.4
District of Columbia,20.8,19.6,18.8,16.4,16.0,14.7,14.4,13.8,12.7,9.5
Florida,19.3,17.7,16.8,17.7,15.8,15.5,16.1,14.5,14.8,14.7
Georgia,21.2,20.4,18.8,17.4,17.7,17.9,17.5,16.1,16.3,15.0
Hawaii,16.8,14.6,13.3,14.1,14.1,13.1,12.8,13.4,12.3,10.1
Idaho,17.2,16.4,17.2,15.9,13.8,14.5,14.4,14.7,15.3,13.3
Illinois,20.9,18.6,18.0,16.5,15.1,15.8,15.5,15.5,14.5,12.0
Indiana,25.6,24.0,21.9,22.9,20.6,21.1,21.8,21.1,19.2,17.3
Iowa,20.4,18.1,19.5,18.5,18.1,16.7,17.1,16.6,16.4,14.6
Kansas,22.0,19.4,20.0,18.1,17.7,17.2,17.4,17.2,16.2,15.6
Kentucky,29.0,28.3,26.5,26.2,26.0,24.5,24.6,23.4,23.6,19.6
Louisiana,25.7,24.8,23.5,24.0,21.9,22.8,23.1,20.5,21.9,19.5
Maine,22.8,20.3,20.2,19.3,19.5,19.8,17.3,17.8,17.6,15.6
Maryland,19.1,16.2,16.4,14.6,15.1,13.7,13.9,12.5,12.7,10.1
Massachusetts,18.2,16.4,16.6,14.7,14.0,13.6,13.7,13.4,12.0,10.6
Michigan,23.3,23.3,21.4,21.2,20.7,20.4,19.3,18.9,18.7,17.0
Minnesota,19.1,18.8,18.0,16.3,16.2,15.2,14.5,15.1,14.6,13.4
Mississippi,26.0,24.0,24.8,23.0,22.6,22.7,22.2,20.5,20.4,19.6
Missouri,25.0,23.9,22.1,20.6,22.3,22.1,20.8,19.4,19.6,17.3
Montana,22.1,19.7,19.0,19.9,18.9,18.5,17.2,18.0,16.6,14.4
Nebraska,20.0,19.7,18.5,17.3,17.1,17.0,15.4,16.0,14.7,13.4
Nevada,22.9,18.1,19.4,17.0,17.6,16.5,17.6,15.7,15.7,15.5
New Hampshire,19.3,17.2,16.2,17.5,15.9,18.0,15.7,15.6,15.9,12.3
New Jersey,16.8,17.3,15.7,15.1,13.5,14.0,13.7,13.1,,10.7
New Mexico,21.5,19.3,19.7,19.2,17.5,16.6,17.5,15.2,16.0,13.4
New York,18.1,16.2,16.6,14.4,15.2,14.2,14.1,12.8,12.7,12.0
North Carolina,21.8,20.9,20.3,19.1,19.0,17.9,17.2,17.4,18.5,14.4
North Dakota,21.9,21.2,21.2,19.9,18.7,19.8,18.3,19.1,17.0,15.0
Ohio,25.1,23.3,23.4,21.0,21.6,22.5,21.1,20.5,20.8,18.0
Oklahoma,26.1,23.3,23.7,21.1,22.2,19.6,20.2,19.7,18.9,16.9
Oregon,19.7,17.9,17.3,17.0,17.1,16.2,16.1,15.6,14.5,12.4
Pennsylvania,22.4,21.4,21.0,19.9,18.1,18.0,18.8,17.0,17.3,14.4
Rhode Island,20.0,17.4,17.4,16.3,15.5,14.4,15.0,14.6,13.3,12.4
South Carolina,23.1,22.5,22.0,21.5,19.7,20.0,18.8,18.0,17.5,15.5
South Dakota,23.0,22.0,19.6,18.6,20.1,18.1,19.3,19.0,18.3,15.3
Tennessee,23.0,24.9,24.3,24.2,21.9,22.1,22.6,20.7,19.9,19.7
Texas,19.2,18.2,15.9,14.5,15.2,14.3,15.7,14.4,14.7,13.1
Utah,11.8,10.6,10.3,9.7,9.1,8.8,8.9,9.0,7.9,7.2
Vermont,19.1,16.5,16.6,16.4,16.0,17.0,15.8,13.7,15.1,14.8
Virginia,20.9,19.0,19.0,19.5,16.5,15.3,16.4,14.9,14.0,12.4
Washington,17.5,17.2,16.1,15.3,15.0,14.0,13.5,12.0,12.6,10.8
West Virginia,28.6,28.2,27.3,26.7,25.7,24.8,26.0,25.2,23.8,22.0
Wisconsin,20.9,20.4,18.7,17.4,17.3,17.1,16.0,16.4,15.4,13.3
Wyoming,23.0,21.8,20.6,19.5,19.1,19.0,18.7,18.8,18.4,16.4
Guam,30.5,25.8,26.5,29.3,27.4,25.1,26.4,21.9,23.4,20.0
Puerto Rico,14.8,12.6,10.8,11.3,10.8,10.6,11.3,10.0,9.6,9.9
